Account ID	Summoner Name	Rank	Role	Lane	Wins	kills	deaths	assists	goldEarned	goldSpent	magicDamageDealt	magicDamageDealtToChampions	magicalDamageTaken	physicalDamageDealt	physicalDamageDealtToChampions	physicalDamageTaken	trueDamageDealt	trueDamageDealtToChampions	trueDamageTaken	totalDamageDealt	totalDamageDealtToChampions	totalDamageTaken	longestTimeSpentLiving	damageDealtToTurrets	damageDealtToObjectives	totalHeal	totalUnitsHealed	visionScore	wardsPlaced	wardsKilled	visionWardsBoughtInGame	sightWardsBoughtInGame	totalTimeCrowdControlDealt	damageSelfMitigated	timeCCingOthers	totalMinionsKilled	neutralMinionsKilled	largestCriticalStrike	neutralMinionsKilledTeamJungle	neutralMinionsKilledEnemyJungle	champLevel	doubleKills	tripleKills	quadraKills	pentaKills	unrealKills	inhibitorKills	turretKills	killingSprees	largestKillingSpree	largestMultiKill
rADoXWGEJUAEwqE_W-WdOpLtdYL4c2LuY238kjPUf9dQ4Uw	КтоСказалМяу	DIAMOND III	NONE	JUNGLE	54	5.88	6.63	8.18	10156.37	9270.05	57587.3	8055.02	8933.67	52799.2	5721.07	18786.54	10028.33	1338.63	1221.43	120415.75	15115.53	28942.54	456.83	1408.77	16524.2	10973.17	1.6	26.2	5.83	3.35	2.26	0.0	289.58	21363.99	25.67	42.02	93.62	35.34	58.69	13.09	13.24	0.43	0.02	0.0	0.0	0.0	0.14	0.77	1.4	2.54	1.28
TrTXkcjOZ7OvjVlUnHexIp7AWMc0KzJ23YTpTfn8PMhoLFc	Masulman23	DIAMOND II	NONE	JUNGLE	51	8.01	5.18	5.13	11651.28	10493.09	25826.78	3086.65	7780.69	126584.46	10934.63	16655.28	13914.07	2518.06	1263.8	166326.54	16540.16	25700.72	563.97	2311.07	25166.52	11301.81	1.2	20.27	8.25	2.65	0.58	0.0	193.23	18059.98	8.76	49.54	124.49	14.46	83.45	9.69	13.88	1.3	0.4	0.11	0.01	0.0	0.17	1.1	1.69	3.83	1.96
syWMZNDsT0zKZTd8MQ0x6gjWTGsOIjBzNPmKzKJ3XSIQ8pI	ПитерскийПес	DIAMOND II	SOLO	MID	52	8.28	6.83	6.36	12058.41	11187.09	74593.86	15215.02	9388.02	56384.7	7463.9	14541.16	6295.87	1238.97	1281.09	137275.18	23918.63	25211.13	532.96	3831.68	12035.47	8496.41	1.35	21.81	10.03	1.87	3.75	0.0	258.83	16839.14	22.95	170.15	15.56	201.88	6.48	4.82	14.59	0.99	0.15	0.05	0.0	0.0	0.15	1.33	1.8	3.77	1.74
c88-Kw7-I4WOHAM6DdAI-khIVXrv1YpZP5JnP6foOadIh1M	oppa	DIAMOND II	DUO_SUPPORT	BOTTOM	49	2.41	5.19	12.21	7949.11	7318.65	14100.8	5384.0	5197.85	20244.76	2765.61	7235.2	2314.1	665.02	476.29	36660.38	8815.35	12910.2	612.3	2014.38	4583.87	6832.31	4.24	49.42	26.56	4.55	6.94	0.0	123.08	7651.34	22.08	39.53	3.36	85.17	1.68	0.34	12.29	0.16	0.0	0.0	0.0	0.0	0.15	0.61	0.5	0.96	0.9
EMTVV0PBhEui5OrvnSUCFaEolJVcAoFX92JJyRHHBzABacA	Calex	DIAMOND II	DUO_CARRY	BOTTOM	56	7.72	5.36	6.38	11831.09	10735.88	17133.89	3237.21	7975.52	110273.54	16313.17	11777.25	4662.61	899.29	963.43	132070.81	20450.32	20717.01	569.33	4130.63	10695.86	2609.34	2.26	14.65	6.52	2.31	0.09	0.0	138.99	14022.81	13.51	175.38	9.25	663.11	4.32	1.65	13.2	1.04	0.15	0.01	0.0	0.0	0.22	1.42	1.83	3.89	1.74
XeFAveViqv46tn2BCgfO8GJcWfQPjFZ9U-HU2Ha9or8dnIo	ToughBohemian	DIAMOND II	DUO_SUPPORT	BOTTOM	57	2.91	3.96	13.16	8036.35	7024.06	17849.19	8251.93	3674.65	14401.6	2357.06	5527.76	1609.51	783.85	337.49	33861.06	11393.57	9540.61	609.99	1465.5	3424.61	9414.63	3.74	40.07	19.36	3.97	4.86	0.0	84.44	5796.48	23.32	32.66	2.29	40.0	0.99	0.3	12.67	0.2	0.0	0.0	0.0	0.0	0.12	0.5	0.62	1.37	0.98
ej0IcNu78Nd4j8u8YMbVf5epN7DulrliDWoAXM0FrVlAJgA	Freezel	DIAMOND II	DUO_SUPPORT	BOTTOM	51	2.74	5.35	12.19	8243.6	7472.13	22100.88	7087.46	5505.74	21715.44	2822.62	7967.69	2621.13	651.99	545.63	46438.08	10562.72	14019.85	564.88	2366.04	4964.88	7143.77	7.29	43.7	23.55	5.97	3.61	0.0	173.08	10095.35	30.1	46.88	3.63	88.12	1.82	0.33	12.29	0.16	0.02	0.01	0.0	0.0	0.13	0.58	0.6	1.23	1.01
j7M8F5MfXBxX-scSo2xoxFxuCbk7DUtDKxGxfJUHAcGlWZA	EvaPro	DIAMOND II	SOLO	MID	70	5.52	3.34	7.64	11224.73	10159.86	62729.56	9235.76	6219.46	67333.72	8093.95	10764.79	4738.93	727.5	854.42	134803.01	18057.96	17839.55	671.18	4587.19	8889.39	3108.86	1.31	20.15	8.93	2.36	2.63	0.0	154.89	12859.13	24.24	176.59	10.48	418.54	5.84	1.43	14.1	0.51	0.05	0.02	0.01	0.0	0.27	1.53	1.21	3.5	1.44
SHZks8L7fixalDDqSPtJXX0BFOrXiCzPi1u5q2WmeJHgBus	cosmic rays	DIAMOND II	SOLO	TOP	53	4.44	4.88	6.41	9731.08	8789.38	24080.86	4774.11	7935.25	75526.59	8831.78	11606.67	5526.35	1253.59	1361.04	105134.48	14860.15	20903.95	561.19	2708.38	5813.15	3746.27	1.51	15.96	7.69	1.4	1.08	0.0	174.61	20590.15	21.4	133.27	11.32	138.84	5.4	2.3	13.71	0.31	0.05	0.0	0.0	0.0	0.15	0.99	1.03	2.22	1.16
FiThBWFGzXB4xZ2y2h4QcoQy69oDRhw5q9XRHcKFI_SQ4Yk	Warlock Umbra	DIAMOND II	NONE	JUNGLE	59	8.03	3.41	7.63	10809.79	9970.35	32088.84	4494.07	5985.66	74231.15	8004.06	13968.99	12987.35	1966.6	882.31	119308.23	14465.64	20837.77	716.61	1638.84	17021.34	8367.18	1.38	22.65	5.3	3.01	2.67	0.0	641.76	14317.15	21.05	30.92	100.94	62.33	69.6	5.91	13.64	0.62	0.07	0.01	0.01	0.0	0.17	1.07	1.68	4.74	1.42
